"week","Loser","Winner","Wk","Date","Day","pts_w","pts_l","w_rank_coaches","w_rank_ap","l_rank_coaches","l_rank_ap","coach","ap"
2012-09-04,"idaho","bowling green state","2",2012-09-08,"Sat","21","13",NA,NA,NA,NA,NA,NA
2012-09-04,"illinois","arizona state","2",2012-09-08,"Sat","45","14",NA,NA,NA,NA,NA,NA
2012-09-04,"iowa","iowa state","2",2012-09-08,"Sat","9","6",NA,NA,NA,NA,NA,NA
2012-09-04,"kansas","rice","2",2012-09-08,"Sat","25","24",NA,NA,NA,NA,NA,NA
2012-09-04,"kent state","kentucky","2",2012-09-08,"Sat","47","14",NA,NA,NA,NA,NA,NA
2012-09-04,"maine","boston college","2",2012-09-08,"Sat","34","3",NA,NA,NA,NA,NA,NA
2012-09-04,"massachusetts","indiana","2",2012-09-08,"Sat","45","6",NA,NA,NA,NA,NA,NA
2012-09-04,"memphis","arkansas state","2",2012-09-08,"Sat","33","28",NA,NA,NA,NA,NA,NA
2012-09-04,"miami (fl)","kansas state","2",2012-09-08,"Sat","52","13",20,21,NA,NA,1,1
2012-09-04,"missouri","georgia","2",2012-09-08,"Sat","41","20",7,7,NA,NA,1,1
2012-09-04,"missouri state","louisville","2",2012-09-08,"Sat","35","7",24,23,NA,NA,1,1
2012-09-04,"morgan state","buffalo","2",2012-09-08,"Sat","56","34",NA,NA,NA,NA,NA,NA
2012-09-04,"nebraska","ucla","2",2012-09-08,"Sat","36","30",NA,NA,14,16,0,0
2012-09-04,"nevada","south florida","2",2012-09-08,"Sat","32","31",NA,NA,NA,NA,NA,NA
2012-09-04,"nevada-las vegas","northern arizona","2",2012-09-08,"Sat","17","14",NA,NA,NA,NA,NA,NA
2012-09-04,"new hampshire","minnesota","2",2012-09-08,"Sat","44","7",NA,NA,NA,NA,NA,NA
2012-09-04,"new mexico","texas","2",2012-09-08,"Sat","45","0",15,17,NA,NA,1,1
2012-09-04,"new mexico state","ohio","2",2012-09-08,"Sat","51","24",NA,NA,NA,NA,NA,NA
2012-09-04,"nicholls state","south alabama","2",2012-09-08,"Sat","9","3",NA,NA,NA,NA,NA,NA
2012-09-04,"north carolina","wake forest","2",2012-09-08,"Sat","28","27",NA,NA,NA,NA,NA,NA
2012-09-04,"oklahoma state","arizona","2",2012-09-08,"Sat","59","38",NA,NA,16,18,0,0
2012-09-04,"penn state","virginia","2",2012-09-08,"Sat","17","16",NA,NA,NA,NA,NA,NA
2012-09-04,"pittsburgh","cincinnati","2",2012-09-06,"Thu","34","10",NA,NA,NA,NA,NA,NA
2012-09-04,"presbyterian","georgia tech","2",2012-09-08,"Sat","59","3",NA,NA,NA,NA,NA,NA
2012-09-04,"purdue","notre dame","2",2012-09-08,"Sat","20","17",22,22,NA,NA,1,1
2012-09-04,"savannah state","florida state","2",2012-09-08,"Sat","55","0",6,6,NA,NA,1,1
2012-09-04,"southern illinois","miami (oh)","2",2012-09-08,"Sat","30","14",NA,NA,NA,NA,NA,NA
2012-09-04,"southern utah","california","2",2012-09-08,"Sat","50","31",NA,NA,NA,NA,NA,NA
