"Rank","Team","Record","Points","PreviousPrev","year","poll","week"
13,"Oklahoma State","10-2",845,"6",2013,"Coaches","2013-12-08"
14,"LSU","9-3",719,"14",2013,"Coaches","2013-12-08"
15,"UCF","11-1",658,"17",2013,"Coaches","2013-12-08"
16,"Louisville","11-1",611,"16",2013,"Coaches","2013-12-08"
17,"Arizona State","10-3",602,"13",2013,"Coaches","2013-12-08"
18,"UCLA","9-3",520,"19",2013,"Coaches","2013-12-08"
19,"Wisconsin","9-3",408,"21",2013,"Coaches","2013-12-08"
20,"Fresno State","11-1",344,"22",2013,"Coaches","2013-12-08"
21,"Duke","10-3",247,"20",2013,"Coaches","2013-12-08"
21,"Texas A&M","8-4",247,"25",2013,"Coaches","2013-12-08"
23,"Northern Illinois","12-1",149,"18",2013,"Coaches","2013-12-08"
24,"Georgia","8-4",135,"NR",2013,"Coaches","2013-12-08"
25,"Miami","9-3",73,"NR",2013,"Coaches","2013-12-08"
1,"Florida State (58)","12-0",1498,"2",2013,"AP","2013-12-01"
2,"Ohio State","12-0",1418,"3",2013,"AP","2013-12-01"
3,"Auburn (2)","11-1",1387,"4",2013,"AP","2013-12-01"
4,"Alabama","11-1",1294,"1",2013,"AP","2013-12-01"
5,"Missouri","11-1",1281,"5",2013,"AP","2013-12-01"
6,"Oklahoma State","10-1",1197,"7",2013,"AP","2013-12-01"
7,"Stanford","10-2",1067,"8",2013,"AP","2013-12-01"
8,"South Carolina","10-2",1066,"10",2013,"AP","2013-12-01"
9,"Baylor","10-1",1020,"9",2013,"AP","2013-12-01"
10,"Michigan State","11-1",1002,"11",2013,"AP","2013-12-01"
11,"Arizona State","10-2",843,"13",2013,"AP","2013-12-01"
12,"Oregon","10-2",815,"12",2013,"AP","2013-12-01"
13,"Clemson","10-2",813,"6",2013,"AP","2013-12-01"
14,"LSU","9-3",690,"15",2013,"AP","2013-12-01"
15,"UCF","10-1",621,"17",2013,"AP","2013-12-01"
16,"Northern Illinois","12-0",596,"18",2013,"AP","2013-12-01"
17,"UCLA","9-3",510,"22",2013,"AP","2013-12-01"
18,"Oklahoma","9-2",503,"20",2013,"AP","2013-12-01"
19,"Louisville","10-1",482,"21",2013,"AP","2013-12-01"
20,"Duke","10-2",348,"24",2013,"AP","2013-12-01"
21,"Wisconsin","9-3",299,"14",2013,"AP","2013-12-01"
22,"Texas A&M","8-4",186,"19",2013,"AP","2013-12-01"
23,"Texas","8-3",156,"NR",2013,"AP","2013-12-01"
24,"Fresno State","10-1",124,"16",2013,"AP","2013-12-01"
25,"Georgia","8-4",111,"NR",2013,"AP","2013-12-01"
1,"Florida State (58)","12-0",1546,"2",2013,"Coaches","2013-12-01"
2,"Ohio State (4)","12-0",1462,"3",2013,"Coaches","2013-12-01"
3,"Auburn","11-1",1437,"5",2013,"Coaches","2013-12-01"
4,"Alabama","11-1",1333,"1",2013,"Coaches","2013-12-01"
5,"Missouri","11-1",1315,"6",2013,"Coaches","2013-12-01"
6,"Oklahoma State","10-1",1248,"7",2013,"Coaches","2013-12-01"
7,"Baylor","10-1",1100,"8",2013,"Coaches","2013-12-01"
7,"South Carolina","10-2",1100,"9",2013,"Coaches","2013-12-01"
9,"Michigan State","11-1",1037,"11",2013,"Coaches","2013-12-01"
10,"Stanford","10-2",1034,"10",2013,"Coaches","2013-12-01"
11,"Clemson","10-2",853,"4",2013,"Coaches","2013-12-01"
12,"Oregon","10-2",843,"12",2013,"Coaches","2013-12-01"
13,"Arizona State","10-2",765,"18",2013,"Coaches","2013-12-01"
14,"LSU","9-3",720,"15",2013,"Coaches","2013-12-01"
15,"Oklahoma","9-2",660,"17",2013,"Coaches","2013-12-01"
16,"Louisville","10-1",625,"16",2013,"Coaches","2013-12-01"
17,"UCF","10-1",572,"19",2013,"Coaches","2013-12-01"
18,"Northern Illinois","12-0",547,"20",2013,"Coaches","2013-12-01"
19,"UCLA","9-3",473,"22",2013,"Coaches","2013-12-01"
20,"Duke","10-2",402,"24",2013,"Coaches","2013-12-01"
21,"Wisconsin","9-3",266,"14",2013,"Coaches","2013-12-01"
22,"Fresno State","10-1",215,"13",2013,"Coaches","2013-12-01"
23,"Cincinnati","9-2",167,"25",2013,"Coaches","2013-12-01"
24,"Texas","8-3",149,"NR",2013,"Coaches","2013-12-01"
25,"Texas A&M","8-4",121,"21",2013,"Coaches","2013-12-01"
1,"Alabama (56)","11-0",1496,"1",2013,"AP","2013-11-24"
2,"Florida State (4)","11-0",1444,"2",2013,"AP","2013-11-24"
3,"Ohio State","11-0",1375,"4",2013,"AP","2013-11-24"
4,"Auburn","10-1",1294,"6",2013,"AP","2013-11-24"
5,"Missouri","10-1",1202,"8",2013,"AP","2013-11-24"
6,"Clemson","10-1",1196,"7",2013,"AP","2013-11-24"
7,"Oklahoma State","10-1",1177,"11",2013,"AP","2013-11-24"
8,"Stanford","9-2",1002,"10",2013,"AP","2013-11-24"
9,"Baylor","9-1",976,"3",2013,"AP","2013-11-24"
10,"South Carolina","9-2",960,"12",2013,"AP","2013-11-24"
11,"Michigan State","10-1",929,"13",2013,"AP","2013-11-24"
12,"Oregon","9-2",731,"5",2013,"AP","2013-11-24"
13,"Arizona State","9-2",690,"19",2013,"AP","2013-11-24"
14,"Wisconsin","9-2",684,"16",2013,"AP","2013-11-24"
15,"LSU","8-3",642,"18",2013,"AP","2013-11-24"
16,"Fresno State","10-0",619,"15",2013,"AP","2013-11-24"
17,"UCF","9-1",588,"17",2013,"AP","2013-11-24"
18,"Northern Illinois","11-0",470,"20",2013,"AP","2013-11-24"
19,"Texas A&M","8-3",429,"9",2013,"AP","2013-11-24"
20,"Oklahoma","9-2",386,"22",2013,"AP","2013-11-24"
21,"Louisiana-Lafayette","8-2",383,"NR",2013,"AP","2013-11-24"
21,"Louisville","10-1",383,"21",2013,"AP","2013-11-24"
22,"UCLA","8-3",300,"14",2013,"AP","2013-11-24"
23,"USC","9-3",262,"23",2013,"AP","2013-11-24"
24,"Duke","9-2",135,"25",2013,"AP","2013-11-24"
1,"Alabama (99)","11-0",2595,"1",2013,"Coaches","2013-11-24"
2,"Florida State (5)","11-0",2494,"2",2013,"Coaches","2013-11-24"
3,"Ohio State","11-0",2389,"3",2013,"Coaches","2013-11-24"
4,"Clemson","10-1",2148,"6",2013,"Coaches","2013-11-24"
5,"Auburn","10-1",2139,"7",2013,"Coaches","2013-11-24"
6,"Missouri","10-1",2109,"8",2013,"Coaches","2013-11-24"
7,"Oklahoma State","10-1",2013,"9",2013,"Coaches","2013-11-24"
8,"Stanford","9-2",1759,"11",2013,"Coaches","2013-11-24"
9,"Baylor","9-1",1679,"4",2013,"Coaches","2013-11-24"
10,"South Carolina","9-2",1620,"12",2013,"Coaches","2013-11-24"
11,"Michigan State","10-1",1595,"13",2013,"Coaches","2013-11-24"
12,"Oregon","9-2",1284,"5",2013,"Coaches","2013-11-24"
13,"Fresno State","10-0",1206,"14",2013,"Coaches","2013-11-24"
14,"LSU","8-3",1155,"17",2013,"Coaches","2013-11-24"
15,"Wisconsin","9-2",1035,"19",2013,"Coaches","2013-11-24"
16,"Arizona State","9-2",976,"22",2013,"Coaches","2013-11-24"
17,"Northern Illinois","11-0",936,"18",2013,"Coaches","2013-11-24"
18,"Louisville","10-1",930,"16",2013,"Coaches","2013-11-24"
19,"Oklahoma","9-2",856,"21",2013,"Coaches","2013-11-24"
20,"UCF","9-1",855,"20",2013,"Coaches","2013-11-24"
21,"Texas A&M","8-3",698,"10",2013,"Coaches","2013-11-24"
22,"UCLA","8-3",391,"15",2013,"Coaches","2013-11-24"
23,"USC","9-3",385,"23",2013,"Coaches","2013-11-24"
24,"Duke","9-2",298,"24",2013,"Coaches","2013-11-24"
25,"Notre Dame","8-3",55,"NR",2013,"Coaches","2013-11-24"
1,"Alabama (56)","11-0",1544,"1",2013,"Coaches","2013-11-24"
2,"Florida State (6)","11-0",1488,"2",2013,"Coaches","2013-11-24"
3,"Ohio State","11-0",1428,"3",2013,"Coaches","2013-11-24"
4,"Clemson","10-1",1289,"6",2013,"Coaches","2013-11-24"
5,"Auburn","10-1",1268,"7",2013,"Coaches","2013-11-24"
6,"Missouri","10-1",1243,"8",2013,"Coaches","2013-11-24"
7,"Oklahoma State","10-1",1225,"9",2013,"Coaches","2013-11-24"
8,"Baylor","9-1",1009,"4",2013,"Coaches","2013-11-24"
9,"South Carolina","9-2",1003,"11",2013,"Coaches","2013-11-24"
10,"Stanford","9-2",981,"12",2013,"Coaches","2013-11-24"
11,"Michigan State","10-1",962,"13",2013,"Coaches","2013-11-24"
12,"Oregon","9-2",777,"5",2013,"Coaches","2013-11-24"
13,"Fresno State","10-0",687,"16",2013,"Coaches","2013-11-24"
14,"Wisconsin","9-2",661,"17",2013,"Coaches","2013-11-24"
15,"LSU","8-3",646,"19",2013,"Coaches","2013-11-24"
16,"Louisville","10-1",603,"15",2013,"Coaches","2013-11-24"
17,"Oklahoma","9-2",581,"18",2013,"Coaches","2013-11-24"
18,"Arizona State","9-2",574,"22",2013,"Coaches","2013-11-24"
19,"UCF","9-1",512,"20",2013,"Coaches","2013-11-24"
20,"Northern Illinois","11-0",459,"21",2013,"Coaches","2013-11-24"
21,"Texas A&M","8-3",410,"10",2013,"Coaches","2013-11-24"
22,"UCLA","8-3",257,"14",2013,"Coaches","2013-11-24"
23,"USC","9-3",210,"25",2013,"Coaches","2013-11-24"
24,"Duke","9-2",203,"24",2013,"Coaches","2013-11-24"
25,"Cincinnati","9-2",47,"NR",2013,"Coaches","2013-11-24"
1,"Alabama (55)","10-0",1495,"1",2013,"AP","2013-11-17"
2,"Florida State (5)","10-0",1445,"2",2013,"AP","2013-11-17"
3,"Baylor","9-0",1351,"4",2013,"AP","2013-11-17"
4,"Ohio State","10-0",1343,"3",2013,"AP","2013-11-17"
5,"Oregon","9-1",1210,"6",2013,"AP","2013-11-17"
6,"Auburn","10-1",1205,"7",2013,"AP","2013-11-17"
7,"Clemson","9-1",1115,"8",2013,"AP","2013-11-17"
8,"Missouri","9-1",1067,"9",2013,"AP","2013-11-17"
9,"Texas A&M","8-2",956,"10",2013,"AP","2013-11-17"
10,"Stanford","8-2",899,"5",2013,"AP","2013-11-17"
11,"Oklahoma State","9-1",889,"12",2013,"AP","2013-11-17"
12,"South Carolina","8-2",870,"11",2013,"AP","2013-11-17"
13,"Michigan State","9-1",749,"14",2013,"AP","2013-11-17"
14,"UCLA","8-2",710,"13",2013,"AP","2013-11-17"
15,"Fresno State","9-0",572,"16",2013,"AP","2013-11-17"
16,"Wisconsin","8-2",559,"17",2013,"AP","2013-11-17"
17,"UCF","8-1",535,"15",2013,"AP","2013-11-17"
18,"LSU","7-3",439,"18",2013,"AP","2013-11-17"
19,"Arizona State","8-2",430,"21",2013,"AP","2013-11-17"
20,"Northern Illinois","10-0",426,"20",2013,"AP","2013-11-17"
21,"Louisville","9-1",412,"19",2013,"AP","2013-11-17"
22,"Oklahoma","8-2",318,"22",2013,"AP","2013-11-17"
23,"USC","8-3",187,"NR",2013,"AP","2013-11-17"
24,"Mississippi","7-3",119,"NR",2013,"AP","2013-11-17"
25,"Duke","8-2",94,"NR",2013,"AP","2013-11-17"
1,"Alabama (100)","10-0",2620,"1",2013,"Coaches","2013-11-17"
2,"Florida State (5)","10-0",2517,"2",2013,"Coaches","2013-11-17"
3,"Ohio State","10-0",2375,"3",2013,"Coaches","2013-11-17"
4,"Baylor","9-0",2343,"4",2013,"Coaches","2013-11-17"
5,"Oregon","9-1",2102,"6",2013,"Coaches","2013-11-17"
6,"Clemson","9-1",2019,"7",2013,"Coaches","2013-11-17"
7,"Auburn","10-1",1967,"9",2013,"Coaches","2013-11-17"
8,"Missouri","9-1",1919,"8",2013,"Coaches","2013-11-17"
9,"Oklahoma State","9-1",1660,"11",2013,"Coaches","2013-11-17"
10,"Texas A&M","8-2",1626,"10",2013,"Coaches","2013-11-17"
11,"Stanford","8-2",1584,"5",2013,"Coaches","2013-11-17"
12,"South Carolina","8-2",1459,"12",2013,"Coaches","2013-11-17"
13,"Michigan State","9-1",1269,"15",2013,"Coaches","2013-11-17"
14,"Fresno State","9-0",1126,"13",2013,"Coaches","2013-11-17"
15,"UCLA","8-2",1110,"16",2013,"Coaches","2013-11-17"
16,"Louisville","9-1",1010,"14",2013,"Coaches","2013-11-17"
17,"LSU","7-3",880,"17",2013,"Coaches","2013-11-17"
18,"Northern Illinois","10-0",864,"18",2013,"Coaches","2013-11-17"
19,"Wisconsin","8-2",794,"21",2013,"Coaches","2013-11-17"
20,"UCF","8-1",793,"19",2013,"Coaches","2013-11-17"
21,"Oklahoma","8-2",746,"20",2013,"Coaches","2013-11-17"
22,"Arizona State","8-2",570,"22",2013,"Coaches","2013-11-17"
23,"USC","8-3",202,"NR",2013,"Coaches","2013-11-17"
24,"Duke","8-2",187,"NR",2013,"Coaches","2013-11-17"
25,"Minnesota","8-2",183,"NR",2013,"Coaches","2013-11-17"
1,"Alabama (56)","10-0",1544,"1",2013,"Coaches","2013-11-17"
2,"Florida State (6)","10-0",1487,"2",2013,"Coaches","2013-11-17"
3,"Ohio State","10-0",1404,"3",2013,"Coaches","2013-11-17"
4,"Baylor","9-0",1386,"4",2013,"Coaches","2013-11-17"
5,"Oregon","9-1",1231,"7",2013,"Coaches","2013-11-17"
6,"Clemson","9-1",1217,"6",2013,"Coaches","2013-11-17"
7,"Auburn","10-1",1145,"9",2013,"Coaches","2013-11-17"
8,"Missouri","9-1",1129,"8",2013,"Coaches","2013-11-17"
9,"Oklahoma State","9-1",1030,"10",2013,"Coaches","2013-11-17"
10,"Texas A&M","8-2",928,"11",2013,"Coaches","2013-11-17"
11,"South Carolina","8-2",882,"12",2013,"Coaches","2013-11-17"
12,"Stanford","8-2",865,"5",2013,"Coaches","2013-11-17"
13,"Michigan State","9-1",729,"16",2013,"Coaches","2013-11-17"
14,"UCLA","8-2",700,"15",2013,"Coaches","2013-11-17"
15,"Louisville","9-1",627,"13",2013,"Coaches","2013-11-17"
16,"Fresno State","9-0",622,"14",2013,"Coaches","2013-11-17"
17,"Wisconsin","8-2",511,"20",2013,"Coaches","2013-11-17"
18,"Oklahoma","8-2",502,"17",2013,"Coaches","2013-11-17"
19,"LSU","7-3",478,"18",2013,"Coaches","2013-11-17"
20,"UCF","8-1",446,"19",2013,"Coaches","2013-11-17"
21,"Northern Illinois","10-0",418,"21",2013,"Coaches","2013-11-17"
22,"Arizona State","8-2",352,"22",2013,"Coaches","2013-11-17"
23,"Minnesota","8-2",173,"25",2013,"Coaches","2013-11-17"
24,"Duke","8-2",131,"NR",2013,"Coaches","2013-11-17"
25,"USC","8-3",115,"NR",2013,"Coaches","2013-11-17"
1,"Alabama (56)","9-0",1472,"1",2013,"AP","2013-11-10"
2,"Florida State (3)","9-0",1418,"3",2013,"AP","2013-11-10"
3,"Ohio State","9-0",1310,"4",2013,"AP","2013-11-10"
4,"Baylor","8-0",1303,"5",2013,"AP","2013-11-10"
5,"Stanford","8-1",1272,"6",2013,"AP","2013-11-10"
6,"Oregon","8-1",1139,"2",2013,"AP","2013-11-10"
7,"Auburn","9-1",1109,"7",2013,"AP","2013-11-10"
8,"Clemson","8-1",1049,"8",2013,"AP","2013-11-10"
9,"Missouri","9-1",1012,"9",2013,"AP","2013-11-10"
10,"Texas A&M","8-2",909,"11",2013,"AP","2013-11-10"
11,"South Carolina","7-2",857,"13",2013,"AP","2013-11-10"
12,"Oklahoma State","8-1",780,"15",2013,"AP","2013-11-10"
13,"UCLA","7-2",669,"16",2013,"AP","2013-11-10"
14,"Michigan State","8-1",633,"18",2013,"AP","2013-11-10"
15,"UCF","7-1",596,"19",2013,"AP","2013-11-10"
16,"Fresno State","9-0",588,"17",2013,"AP","2013-11-10"
17,"Wisconsin","7-2",503,"21",2013,"AP","2013-11-10"
18,"LSU","7-3",470,"10",2013,"AP","2013-11-10"
19,"Louisville","8-1",467,"20",2013,"AP","2013-11-10"
20,"Northern Illinois","9-0",396,"22",2013,"AP","2013-11-10"
21,"Arizona State","7-2",362,"23",2013,"AP","2013-11-10"
22,"Oklahoma","7-2",285,"12",2013,"AP","2013-11-10"
23,"Texas","7-2",185,"NR",2013,"AP","2013-11-10"
24,"Miami","7-2",121,"14",2013,"AP","2013-11-10"
25,"Georgia","6-3",78,"NR",2013,"AP","2013-11-10"
1,"Alabama (105)","9-0",2625,"1",2013,"Coaches","2013-11-10"
2,"Florida State","9-0",2514,"3",2013,"Coaches","2013-11-10"
3,"Ohio State","9-0",2373,"4",2013,"Coaches","2013-11-10"
4,"Baylor","8-0",2304,"5",2013,"Coaches","2013-11-10"
5,"Stanford","8-1",2240,"6",2013,"Coaches","2013-11-10"
6,"Oregon","8-1",1968,"2",2013,"Coaches","2013-11-10"
7,"Clemson","8-1",1940,"7",2013,"Coaches","2013-11-10"
8,"Missouri","9-1",1855,"8",2013,"Coaches","2013-11-10"
9,"Auburn","9-1",1843,"9",2013,"Coaches","2013-11-10"
10,"Texas A&M","8-2",1582,"12",2013,"Coaches","2013-11-10"
11,"Oklahoma State","8-1",1545,"14",2013,"Coaches","2013-11-10"
12,"South Carolina","7-2",1417,"15",2013,"Coaches","2013-11-10"
13,"Fresno State","9-0",1124,"17",2013,"Coaches","2013-11-10"
14,"Louisville","8-1",1104,"16",2013,"Coaches","2013-11-10"
15,"Michigan State","8-1",1090,"18",2013,"Coaches","2013-11-10"
16,"UCLA","7-2",1026,"19",2013,"Coaches","2013-11-10"
17,"LSU","7-3",919,"11",2013,"Coaches","2013-11-10"
18,"Northern Illinois","9-0",825,"20",2013,"Coaches","2013-11-10"
19,"UCF","7-1",791,"21",2013,"Coaches","2013-11-10"
20,"Oklahoma","7-2",732,"10",2013,"Coaches","2013-11-10"
21,"Wisconsin","7-2",674,"22",2013,"Coaches","2013-11-10"
22,"Arizona State","7-2",475,"24",2013,"Coaches","2013-11-10"
23,"Miami","7-2",457,"13",2013,"Coaches","2013-11-10"
24,"Texas","7-2",247,"NR",2013,"Coaches","2013-11-10"
25,"Georgia","6-3",102,"NR",2013,"Coaches","2013-11-10"
1,"Alabama (58)","9-0",1546,"1",2013,"Coaches","2013-11-10"
2,"Florida State (4)","9-0",1485,"3",2013,"Coaches","2013-11-10"
3,"Ohio State","9-0",1401,"4",2013,"Coaches","2013-11-10"
4,"Baylor","8-0",1376,"5",2013,"Coaches","2013-11-10"
5,"Stanford","8-1",1307,"6",2013,"Coaches","2013-11-10"
6,"Clemson","8-1",1164,"7",2013,"Coaches","2013-11-10"
7,"Oregon","8-1",1162,"2",2013,"Coaches","2013-11-10"
8,"Missouri","9-1",1083,"9",2013,"Coaches","2013-11-10"
9,"Auburn","9-1",1069,"10",2013,"Coaches","2013-11-10"
10,"Oklahoma State","8-1",965,"11",2013,"Coaches","2013-11-10"
11,"Texas A&M","8-2",898,"13",2013,"Coaches","2013-11-10"
12,"South Carolina","7-2",830,"15",2013,"Coaches","2013-11-10"
13,"Louisville","8-1",653,"16",2013,"Coaches","2013-11-10"
14,"Fresno State","9-0",646,"17",2013,"Coaches","2013-11-10"
15,"UCLA","7-2",641,"18",2013,"Coaches","2013-11-10"
16,"Michigan State","8-1",620,"19",2013,"Coaches","2013-11-10"
17,"Oklahoma","7-2",510,"8",2013,"Coaches","2013-11-10"
18,"LSU","7-3",476,"12",2013,"Coaches","2013-11-10"
19,"UCF","7-1",468,"21",2013,"Coaches","2013-11-10"
20,"Wisconsin","7-2",460,"22",2013,"Coaches","2013-11-10"
21,"Northern Illinois","9-0",445,"20",2013,"Coaches","2013-11-10"
22,"Arizona State","7-2",262,"24",2013,"Coaches","2013-11-10"
23,"Miami","7-2",228,"14",2013,"Coaches","2013-11-10"
24,"Texas","7-2",176,"NR",2013,"Coaches","2013-11-10"
25,"Minnesota","8-2",91,"NR",2013,"Coaches","2013-11-10"
1,"Alabama (52)","8-0",1491,"1",2013,"AP","2013-11-03"
2,"Oregon (2)","8-0",1418,"2",2013,"AP","2013-11-03"
3,"Florida State (6)","8-0",1409,"3",2013,"AP","2013-11-03"
4,"Ohio State","9-0",1315,"4",2013,"AP","2013-11-03"
5,"Baylor","7-0",1234,"5",2013,"AP","2013-11-03"
6,"Stanford","7-1",1214,"6",2013,"AP","2013-11-03"
7,"Auburn","8-1",1082,"8",2013,"AP","2013-11-03"
8,"Clemson","8-1",1059,"9",2013,"AP","2013-11-03"
9,"Missouri","8-1",956,"10",2013,"AP","2013-11-03"
10,"LSU","7-2",863,"11",2013,"AP","2013-11-03"
11,"Texas A&M","7-2",861,"12",2013,"AP","2013-11-03"
12,"Oklahoma","7-1",816,"13",2013,"AP","2013-11-03"
13,"South Carolina","7-2",769,"14",2013,"AP","2013-11-03"
14,"Miami","7-1",737,"7",2013,"AP","2013-11-03"
15,"Oklahoma State","7-1",662,"18",2013,"AP","2013-11-03"
16,"UCLA","6-2",515,"17",2013,"AP","2013-11-03"
17,"Fresno State","8-0",493,"16",2013,"AP","2013-11-03"
18,"Michigan State","8-1",478,"24",2013,"AP","2013-11-03"
19,"UCF","6-1",472,"19",2013,"AP","2013-11-03"
20,"Louisville","7-1",385,"20",2013,"AP","2013-11-03"
21,"Wisconsin","6-2",342,"22",2013,"AP","2013-11-03"
22,"Northern Illinois","9-0",322,"21",2013,"AP","2013-11-03"
23,"Arizona State","6-2",197,"25",2013,"AP","2013-11-03"
24,"Notre Dame","7-2",164,"NR",2013,"AP","2013-11-03"
25,"Texas Tech","7-2",102,"15",2013,"AP","2013-11-03"
1,"Alabama (95)","8-0",2613,"1",2013,"Coaches","2013-11-03"
2,"Oregon (8)","8-0",2491,"2",2013,"Coaches","2013-11-03"
3,"Florida State (2)","8-0",2444,"3",2013,"Coaches","2013-11-03"
4,"Ohio State","9-0",2317,"4",2013,"Coaches","2013-11-03"
5,"Baylor","7-0",2167,"5",2013,"Coaches","2013-11-03"
6,"Stanford","7-1",2102,"6",2013,"Coaches","2013-11-03"
7,"Clemson","8-1",1890,"8",2013,"Coaches","2013-11-03"
8,"Missouri","8-1",1725,"9",2013,"Coaches","2013-11-03"
9,"Auburn","8-1",1672,"11",2013,"Coaches","2013-11-03"
10,"Oklahoma","7-1",1572,"10",2013,"Coaches","2013-11-03"
11,"LSU","7-2",1467,"12",2013,"Coaches","2013-11-03"
12,"Texas A&M","7-2",1426,"13",2013,"Coaches","2013-11-03"
13,"Miami","7-1",1344,"7",2013,"Coaches","2013-11-03"
14,"Oklahoma State","7-1",1315,"15",2013,"Coaches","2013-11-03"
15,"South Carolina","7-2",1175,"17",2013,"Coaches","2013-11-03"
16,"Louisville","7-1",1013,"16",2013,"Coaches","2013-11-03"
17,"Fresno State","8-0",989,"18",2013,"Coaches","2013-11-03"
18,"Michigan State","8-1",789,"23",2013,"Coaches","2013-11-03"
19,"UCLA","6-2",768,"19",2013,"Coaches","2013-11-03"
20,"Northern Illinois","9-0",727,"20",2013,"Coaches","2013-11-03"
21,"UCF","6-1",567,"22",2013,"Coaches","2013-11-03"
22,"Wisconsin","6-2",450,"24",2013,"Coaches","2013-11-03"
23,"Texas Tech","7-2",409,"14",2013,"Coaches","2013-11-03"
24,"Arizona State","6-2",255,"25",2013,"Coaches","2013-11-03"
25,"Notre Dame","7-2",155,"NR",2013,"Coaches","2013-11-03"
1,"Alabama (54)","8-0",1540,"1",2013,"Coaches","2013-11-03"
2,"Oregon (5)","8-0",1475,"2",2013,"Coaches","2013-11-03"
3,"Florida State (3)","8-0",1436,"3",2013,"Coaches","2013-11-03"
4,"Ohio State","9-0",1369,"4",2013,"Coaches","2013-11-03"
5,"Baylor","7-0",1299,"5",2013,"Coaches","2013-11-03"
6,"Stanford","7-1",1222,"7",2013,"Coaches","2013-11-03"
7,"Clemson","8-1",1121,"8",2013,"Coaches","2013-11-03"
8,"Oklahoma","7-1",971,"9",2013,"Coaches","2013-11-03"
9,"Missouri","8-1",961,"10",2013,"Coaches","2013-11-03"
10,"Auburn","8-1",959,"11",2013,"Coaches","2013-11-03"
11,"Oklahoma State","7-1",864,"12",2013,"Coaches","2013-11-03"
12,"LSU","7-2",835,"13",2013,"Coaches","2013-11-03"
13,"Texas A&M","7-2",800,"14",2013,"Coaches","2013-11-03"
14,"Miami","7-1",747,"6",2013,"Coaches","2013-11-03"
15,"South Carolina","7-2",722,"16",2013,"Coaches","2013-11-03"
16,"Louisville","7-1",569,"17",2013,"Coaches","2013-11-03"
17,"Fresno State","8-0",567,"18",2013,"Coaches","2013-11-03"
18,"UCLA","6-2",494,"19",2013,"Coaches","2013-11-03"
19,"Michigan State","8-1",446,"24",2013,"Coaches","2013-11-03"
20,"Northern Illinois","9-0",409,"20",2013,"Coaches","2013-11-03"
21,"UCF","6-1",340,"22",2013,"Coaches","2013-11-03"
22,"Wisconsin","6-2",333,"23",2013,"Coaches","2013-11-03"
23,"Texas Tech","7-2",217,"15",2013,"Coaches","2013-11-03"
24,"Arizona State","6-2",130,"NR",2013,"Coaches","2013-11-03"
25,"Notre Dame","7-2",108,"25",2013,"Coaches","2013-11-03"
1,"Alabama (55)","8-0",1495,"1",2013,"AP","2013-10-27"
2,"Oregon (3)","8-0",1432,"2",2013,"AP","2013-10-27"
3,"Florida State (2)","7-0",1390,"3",2013,"AP","2013-10-27"
4,"Ohio State","8-0",1317,"4",2013,"AP","2013-10-27"
5,"Baylor","7-0",1223,"6",2013,"AP","2013-10-27"
6,"Stanford","7-1",1189,"8",2013,"AP","2013-10-27"
7,"Miami","7-0",1149,"7",2013,"AP","2013-10-27"
8,"Auburn","7-1",1022,"11",2013,"AP","2013-10-27"
9,"Clemson","7-1",1007,"9",2013,"AP","2013-10-27"
10,"Missouri","7-1",873,"5",2013,"AP","2013-10-27"
11,"LSU","7-2",818,"13",2013,"AP","2013-10-27"
12,"Texas A&M","6-2",811,"14",2013,"AP","2013-10-27"
13,"Oklahoma","7-1",791,"17",2013,"AP","2013-10-27"
14,"South Carolina","6-2",701,"20",2013,"AP","2013-10-27"
15,"Texas Tech","7-1",579,"10",2013,"AP","2013-10-27"
16,"Fresno State","7-0",510,"15",2013,"AP","2013-10-27"
17,"UCLA","5-2",489,"12",2013,"AP","2013-10-27"
18,"Oklahoma State","6-1",483,"19",2013,"AP","2013-10-27"
19,"UCF","6-1",464,"21",2013,"AP","2013-10-27"
20,"Louisville","7-1",417,"18",2013,"AP","2013-10-27"
21,"Northern Illinois","8-0",290,"23",2013,"AP","2013-10-27"
22,"Wisconsin","5-2",262,"22",2013,"AP","2013-10-27"
23,"Michigan","6-1",199,"24",2013,"AP","2013-10-27"
24,"Michigan State","7-1",166,"NR",2013,"AP","2013-10-27"
25,"Arizona State","5-2",133,"NR",2013,"AP","2013-10-27"
1,"Alabama (94)","8-0",2590,"1",2013,"Coaches","2013-10-27"
2,"Oregon (10)","8-0",2492,"2",2013,"Coaches","2013-10-27"
3,"Florida State","7-0",2386,"3",2013,"Coaches","2013-10-27"
4,"Ohio State","8-0",2301,"4",2013,"Coaches","2013-10-27"
5,"Baylor","7-0",2130,"5",2013,"Coaches","2013-10-27"
6,"Stanford","7-1",2035,"8",2013,"Coaches","2013-10-27"
7,"Miami","7-0",1977,"7",2013,"Coaches","2013-10-27"
8,"Clemson","7-1",1767,"10",2013,"Coaches","2013-10-27"
9,"Missouri","7-1",1510,"6",2013,"Coaches","2013-10-27"
10,"Oklahoma","7-1",1475,"14",2013,"Coaches","2013-10-27"
11,"Auburn","7-1",1453,"15",2013,"Coaches","2013-10-27"
12,"LSU","7-2",1408,"12",2013,"Coaches","2013-10-27"
13,"Texas A&M","6-2",1364,"13",2013,"Coaches","2013-10-27"
14,"Texas Tech","7-1",1093,"9",2013,"Coaches","2013-10-27"
15,"Oklahoma State","6-1",1081,"17",2013,"Coaches","2013-10-27"
